,id,object_name,chain,object_type,address,number,coordinates,street
14692,206578,греческий гирос,нет,кафе,"город Москва, Комсомольский проспект, дом 4",5,"37.592285,55.733092",Комсомольский проспект
14693,210047,дружба,нет,ресторан,"город Москва, Новослободская улица, дом 4",100,"37.601403,55.780036",Новослободская улица
14694,210783,китайская лапша «рамэн»,нет,кафе,"город Москва, Новослободская улица, дом 4",24,"37.601403,55.780036",Новослободская улица
14695,207033,арт пабы,нет,бар,"город Москва, улица Арбат, дом 28/1, строение 1",26,"37.59083,55.749486",улица Арбат
14696,206033,7 сендвичей,нет,кафетерий,"город Москва, Большой Саввинский переулок, дом 12, строение 1",15,"37.56494,55.732747",Большой Саввинский переулок
14697,205668,грузинский акцент,нет,ресторан,"город Москва, Спартаковская площадь, дом 16/15, строение 17",45,"37.680589,55.776279",Спартаковская площадь
14698,222000,кафе «pho»,нет,кафе,"город Москва, улица Красная Пресня, дом 6/2, строение 1",10,"37.574831,55.761365",улица Красная Пресня
14699,222001,"кафе « ух, ты блины»",нет,кафе,"город Москва, улица Красная Пресня, дом 6/2, строение 1",6,"37.574831,55.761365",улица Красная Пресня
14700,222002,кафе «кебаб-экспресс»,нет,кафе,"город Москва, улица Красная Пресня, дом 6/2, строение 1",4,"37.574831,55.761365",улица Красная Пресня
14701,205729,silver panda,нет,кафе,"город Москва, Нижняя Сыромятническая улица, дом 10, строение 8",34,"37.669297,55.752734",Нижняя Сыромятническая улица
14702,206107,ладо,нет,кафе,"город Москва, Кривоколенный переулок, дом 9, строение 2",40,"37.637353,55.762865",Кривоколенный переулок
14703,208969,чито ра,нет,кафе,"город Москва, Лесная улица, дом 30",80,"37.596291,55.783342",Лесная улица
14704,214324,кадаши ( закрытый),нет,ресторан,"город Москва, 2-й Кадашёвский переулок, дом 16, строение 1",15,"37.621902,55.743745",2-й Кадашёвский переулок
14705,219230,китайская провинция,нет,столовая,"город Москва, Фрунзенская набережная, дом 30, строение 2",260,"37.583508,55.725645",Фрунзенская набережная
14706,209267,бенедикт,нет,кафе,"город Москва, улица Земляной Вал, дом 33",40,"37.659164,55.757339",улица Земляной Вал
14707,209193,torro gril & wine bar,нет,кафе,"город Москва, улица Земляной Вал, дом 33",20,"37.659164,55.757339",улица Земляной Вал
14708,209229,idola,нет,кафе,"город Москва, улица Земляной Вал, дом 33",35,"37.659164,55.757339",улица Земляной Вал
14709,209231,farш,нет,кафе,"город Москва, улица Земляной Вал, дом 33",25,"37.659164,55.757339",улица Земляной Вал
14710,209232,torro grill & wine bar,нет,кафе,"город Москва, улица Земляной Вал, дом 33",30,"37.659164,55.757339",улица Земляной Вал
14711,209233,freshup & cream bar,нет,кафе,"город Москва, улица Земляной Вал, дом 33",35,"37.659164,55.757339",улица Земляной Вал
14712,209234,tutti frutti frozen yogurt,нет,кафе,"город Москва, улица Земляной Вал, дом 33",0,"37.659164,55.757339",улица Земляной Вал
14713,209261,t.g.i. friday's + il патио,нет,ресторан,"город Москва, улица Земляной Вал, дом 33",56,"37.659164,55.757339",улица Земляной Вал
14714,209236,my gelato,нет,кафе,"город Москва, улица Земляной Вал, дом 33",20,"37.659164,55.757339",улица Земляной Вал
14715,209237,acai family,нет,кафе,"город Москва, улица Земляной Вал, дом 33",20,"37.659164,55.757339",улица Земляной Вал
14716,209239,чача room,нет,кафе,"город Москва, улица Земляной Вал, дом 33",20,"37.659164,55.757339",улица Земляной Вал
14717,209718,"zafferano, эдоко, forte bello",нет,ресторан,"город Москва, улица Земляной Вал, дом 33",138,"37.659164,55.757339",улица Земляной Вал
14718,209444,natura sanat,нет,кафе,"город Москва, улица Земляной Вал, дом 33",8,"37.659164,55.757339",улица Земляной Вал
14719,209475,ниппон,нет,кафе,"город Москва, улица Земляной Вал, дом 33",16,"37.659164,55.757339",улица Земляной Вал
14720,215799,8 oz унций,нет,ресторан,"город Москва, улица Крымский Вал, дом 9, строение 21",56,"37.59586,55.724135",улица Крымский Вал
14721,207308,ресторан «шинок»,нет,ресторан,"город Москва, Рочдельская улица, дом 15, строение 27",90,"37.560565,55.754831",Рочдельская улица
14722,207310,ресторан «бочка»,нет,ресторан,"город Москва, Рочдельская улица, дом 15, строение 27",70,"37.560565,55.754831",Рочдельская улица
14723,207083,ресторан 4tuna caf&gri,нет,ресторан,"город Москва, Новинский бульвар, дом 31",58,"37.582511,55.75783",Новинский бульвар
14724,207084,кафе «ii giorno»,нет,кафе,"город Москва, Новинский бульвар, дом 31",40,"37.582511,55.75783",Новинский бульвар
