,Unnamed: 0,id,object_name,chain,object_type,address,number,coordinates,street,address_list,region
8482,8482,129971,менза,да,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",8,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8483,8483,129973,red mango,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",4,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8484,8484,129976,krispy creme,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",4,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8485,8485,129953,обед буфет,нет,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",15,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8486,8486,129966,панчо пицца,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",4,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8487,8487,129947,сабвей,да,предприятие быстрого обслуживания,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",5,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8488,8488,136043,starbucks,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",8,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8489,8489,148615,dim sum & co,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8490,8490,148617,ploveberry,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8491,8491,149167,кафе «лавкалавка»,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",20,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8492,8492,149172,пончиковое кафе икеа ikea,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8493,8493,149175,ресторан икеа ikea,да,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",50,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8494,8494,152879,shvilli (реторан швили),нет,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8495,8495,152896,кафе pho bo,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",10,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8496,8496,152897,папа джонс,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",5,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8497,8497,152764,upside down cake (udcкафе),нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",5,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8498,8498,152777,tutti frutti frozen yogurt,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8499,8499,152923,gagawa,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",10,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8500,8500,152924,costa coffee,да,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",5,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8501,8501,104717,макдоналдс,да,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",50,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8502,8502,103507,cinnabon,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",50,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8503,8503,104792,бургер кинг,да,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",42,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8504,8504,104794,kfc,да,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",30,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8505,8505,104798,воккер,да,ресторан,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",35,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8506,8506,104825,кафейня musetti,нет,кафе,"город Москва, поселение Сосенское, Калужское шоссе, 22-й километр, дом 10",10,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' Калужское шоссе', ' 22-й километр', ' дом 10']",no_region
8512,8512,77506,вкусторг,нет,кафе,"город Москва, поселение Сосенское, деревня Сосенки, дом 190",30,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' деревня Сосенки', ' дом 190']",no_region
8521,8521,149552,столовая,нет,столовая,"город Москва, поселение Сосенское, улица Поляны, владение 50, строение 1",143,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' улица Поляны', ' владение 50', ' строение 1']",no_region
8529,8529,148311,шале-кафе,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, Фитарёвская улица, дом 15",25,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' Фитарёвская улица', ' дом 15']",no_region
8545,8545,148323,кафе «хатимаки»,нет,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 9",10,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 9']",no_region
8546,8546,147986,суши wok,да,кафе,"город Москва, поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 6",0,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' посёлок Коммунарка', ' улица Липовый Парк', ' дом 6']",no_region
8576,8576,148321,кафе-ресторан «таверна»,нет,ресторан,"город Москва, поселение Сосенское, ж/к ""Дубровка"", Сосновая улица, дом 15",120,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' ж/к ""Дубровка""', ' Сосновая улица', ' дом 15']",no_region
8577,8577,77504,макдоналдс,да,ресторан,"город Москва, поселение Сосенское, ж/к ""Дубровка"", Сосновая улица, дом 15",45,no coordinates, поселение Сосенское,"['город Москва', ' поселение Сосенское', ' ж/к ""Дубровка""', ' Сосновая улица', ' дом 15']",no_region
